AP,gt,kni,kr,hb,time
4,8.6375,100.72,9.67,47.355000000000004,5
5,10.603333333333333,101.25333333333333,10.48,52.3975,5
6,10.444444444444445,93.44666666666667,11.795,60.625,5
7,11.305714285714286,89.01428571428572,12.66,64.69142857142857,5
8,12.13111111111111,80.87222222222222,13.8275,81.9225,5
9,12.957142857142857,76.19285714285714,15.145714285714286,88.55285714285714,5
10,12.926363636363636,68.50818181818182,15.596666666666668,93.57666666666667,5
11,13.879,67.669,16.069,98.75999999999999,5
12,14.320625,64.720625,16.256,111.785,5
13,14.843571428571428,44.94714285714286,16.826153846153847,120.64307692307692,5
14,15.658888888888889,48.71055555555556,14.351,117.565,5
15,18.8344,48.944,14.032727272727273,121.69818181818182,5
16,21.905454545454546,42.537727272727274,15.38857142857143,124.41214285714285,5
17,26.278125,42.49,13.429375,127.320625,5
18,37.1785,40.8975,13.051538461538462,133.23384615384614,5
19,52.815625,37.255625,13.165333333333333,130.01333333333332,5
20,62.02,44.198125,12.443846153846154,130.64076923076922,5
21,93.667,37.077,12.371,132.3325,5
22,108.764,38.125,13.059333333333333,137.04666666666665,5
23,115.977,37.47,13.077222222222222,138.71666666666667,5
24,132.36,34.694583333333334,12.665263157894737,133.07947368421054,5
25,142.7221739130435,35.32304347826087,13.73235294117647,141.04117647058823,5
26,151.3704347826087,29.935652173913045,13.975454545454545,139.325,5
27,144.8488888888889,30.51185185185185,13.824347826086957,134.73565217391305,5
28,162.79749999999999,29.262,15.07764705882353,140.95235294117646,5
29,177.31291666666667,31.367083333333333,14.18608695652174,130.22826086956522,5
30,185.58060606060607,30.298787878787877,15.173809523809524,131.15809523809523,5
31,200.98192307692307,30.86576923076923,15.10875,124.99791666666667,5
32,213.81222222222223,27.413333333333334,16.652173913043477,131.33478260869566,5
33,210.39925925925925,24.99111111111111,17.37625,129.23041666666666,5
34,212.32961538461538,24.515384615384615,17.2968,129.3552,5
35,196.9630303030303,23.382424242424243,17.859583333333333,132.925,5
36,197.179,23.624666666666666,19.003478260869564,137.3078260869565,5
37,168.5084,22.5328,20.508181818181818,138.91727272727272,5
38,154.19666666666666,22.900333333333332,21.9276,141.0208,5
39,127.1225,22.99625,24.96035714285714,145.14607142857142,5
40,89.5551724137931,23.18793103448276,28.825,151.05807692307692,5
41,57.2275,22.771875,35.307037037037034,149.29407407407408,5
42,38.07705882352941,23.236176470588237,43.07769230769231,155.02769230769232,5
43,26.8825,23.5290625,50.59392857142857,151.95892857142857,5
44,21.1178125,23.0496875,67.40518518518519,140.71703703703704,5
45,18.15685714285714,23.186857142857143,92.6690625,134.3246875,5
46,16.120277777777776,23.15388888888889,108.883,107.931,5
47,14.645263157894737,23.25421052631579,129.9658064516129,81.4258064516129,5
48,13.992820512820513,23.65025641025641,139.68275862068967,59.096896551724136,5
49,13.393714285714285,24.48314285714286,144.64066666666668,46.477,5
50,13.569374999999999,25.7128125,155.15862068965518,38.789310344827584,5
51,12.577575757575758,26.063333333333333,152.3552777777778,29.3525,5
52,12.858333333333333,27.003333333333334,155.2159375,25.013125,5
53,12.52,30.415853658536587,148.4734375,21.3015625,5
54,12.467441860465117,36.50395348837209,152.7020588235294,20.46941176470588,5
55,12.237380952380953,45.510714285714286,140.08137931034483,17.164827586206897,5
56,13.043333333333333,59.42388888888889,135.70866666666666,16.452333333333332,5
57,13.513125,75.8021875,123.4946875,14.9115625,5
58,13.068918918918918,92.98162162162163,113.51514285714286,13.88,5
59,13.722564102564103,121.34307692307692,104.64357142857143,13.796785714285715,5
60,13.463589743589743,138.28205128205127,81.84233333333333,12.389666666666667,5
61,15.276486486486487,163.69864864864866,70.13125,11.5278125,5
62,16.004146341463414,169.96219512195123,56.598333333333336,11.401666666666667,5
63,19.462285714285713,181.10885714285715,45.96107142857143,11.072142857142858,5
64,23.670909090909092,180.29666666666665,39.752758620689654,10.437586206896551,5
